,0973.HK_px_USD,NTCO3.SA_px_USD,COUR_px_USD,WRBY_px_USD,ARZZ3.SA_px_USD,SOMA3.SA_px_USD,1112.HK_px_USD,FREY.PA_px_USD,LMND_px_USD,CONCHATORO.SN_px_USD,COCO_px_USD,LFG.AX_px_USD,2897.TW_px_USD,AMAL_px_USD,VITL_px_USD,ABB.AX_px_USD,BFT.WA_px_USD,IBAB.BR_px_USD,SML.NZ_px_USD,MOVI3.SA_px_USD,Index,
10/2/23,2.89838428,2.577716864,18.38999939,13.27000046,12.39329255,1.275915813,1.175583886,30.72170003,11.43999958,1.072474588,27.26000023,2.385456701,0.294228643,16.81642342,11.21000004,2.570489609,386.9882081,9.788612252,0.843673758,2.231865146,486.5201771,
10/3/23,2.847056774,2.600471821,18.12000084,13.72000027,11.72223603,1.199737259,1.142826713,30.69339251,11.06000042,1.04043208,26.57999992,2.291755304,0.289543891,16.47122002,11.15999985,2.536138383,387.8758381,9.800533644,0.827812108,2.0879299,485.1742007,
10/4/23,2.848445967,2.640381782,18.15999985,13.31000042,12.47420003,1.21215577,1.123280736,30.79884481,11.64000034,1.039112889,27.28000069,2.29902039,0.291275327,16.43176651,11.10000038,2.588479906,400.1231148,9.813192285,0.810787621,2.129515167,497.474289,
10/5/23,2.873141604,2.599338704,18.03000069,13.84000015,12.32559587,1.17681214,1.130484801,30.70870322,11.52999973,1.02519979,26.42000008,2.350752157,0.292376817,17.26025772,11,2.592196642,398.7414437,9.691945434,0.82925417,2.0768411,496.0563932,
10/6/23,2.873141604,2.569978536,18.20999908,14.06000042,12.14372796,1.16696677,1.130484801,30.70870322,11.64999962,1.023996292,26.68000031,2.350752157,0.292376817,16.77697182,10.89000034,2.592196642,398.7414437,9.691945434,0.82925417,2.019376622,495.9749321,
10/8/23,2.917570077,2.569978536,18.20999908,14.06000042,12.14372796,1.16696677,1.170573468,30.56081172,11.64999962,1.023996292,26.68000031,2.320173006,0.292376817,16.77697182,10.89000034,2.573479505,395.6410735,9.308921369,0.806244527,2.019376622,492.8058536,
10/9/23,2.842088456,2.565902885,18.77000046,13.88000011,12.3187443,1.189479421,1.176064406,30.38960909,11.56999969,1.023996292,27.13999939,2.369784729,0.292376817,16.68820381,11.11999989,2.638866413,412.6108718,9.489001187,0.820156562,2.024645705,508.6881789,
10/10/23,2.813464731,2.740191518,18.77000046,14.35999966,13.13410441,1.242948093,1.216446316,30.46372969,12.34000015,1.018330198,27.43000031,2.305340564,0.30407564,16.90518761,11.44999981,2.63719859,397.2723746,9.289452579,0.803491893,2.078177474,497.8779145,
10/11/23,2.845361326,2.711715232,19,14.21000004,12.96672567,1.199738184,1.207608994,30.52004421,12.52000046,1.03396443,26.98999977,2.368825024,0.3067886,16.89532661,11.10000038,2.612125764,402.5393544,9.115392502,0.818569498,2.062916187,501.7745512,
10/12/23,2.773570654,2.711715232,18.80999947,14.14000034,12.96672567,1.199738184,1.164228409,30.47416165,12.31000042,1.022756402,25.42000008,2.300759883,0.30480228,16.75724411,10.81999969,2.570897175,396.8895925,8.840000572,0.828949263,2.062916187,494.1944895,
10/13/23,2.773570654,2.507477345,18.19000053,13.80000019,12.33521946,1.106363655,1.164228409,30.47416165,12.52000046,1.021675763,26.28000069,2.300759883,0.30480228,16.4120388,10.76000023,2.570897175,396.8895925,8.840000572,0.828949263,1.95286971,493.0250903,
10/15/23,2.690554777,2.507477345,18.19000053,13.80000019,12.33521946,1.106363655,1.156712032,30.43007612,12.52000046,1.021675763,26.28000069,2.292553677,0.304875209,16.4120388,10.76000023,2.58750984,424.9231597,8.827212162,0.797316307,1.95286971,517.4236092,
10/16/23,2.673394875,2.458078252,18.29999924,14.44999981,12.38201141,1.111309099,1.14877586,30.52530008,12.72999954,1.00013597,26.90999985,2.302234617,0.302470365,16.53039551,10.98999977,2.636462177,438.6479684,8.939267093,0.796629387,1.974558127,531.358312,
10/17/23,2.626416154,2.427036967,18.62000084,14.80000019,12.23054808,1.083569619,1.140267391,30.5754791,13.26000023,1.045173156,25.63999939,2.348302296,0.291835307,17.04327202,10.98999977,2.672206071,429.2514667,9.027961268,0.801631564,1.954791408,523.4957336,
10/18/23,2.567390864,2.290318225,18.25,14.18000031,11.55064256,1.036065106,1.123262084,30.4796211,12.43000031,1.032474186,25.02000046,2.374022255,0.295276474,16.55998611,11.02000046,2.615157219,422.3568506,9.273651965,0.790203828,1.854635732,514.0995544,
