,NTCO3.SA_MktCap_USD,0973.HK_MktCap_USD,LMND_MktCap_USD,SOMA3.SA_MktCap_USD,ARZZ3.SA_MktCap_USD,MME.AX_MktCap_USD,AEF.AX_MktCap_USD,CONCHATORO.SN_MktCap_USD,MOVI3.SA_MktCap_USD,FREY.PA_MktCap_USD,LFG.AX_MktCap_USD,ABB.AX_MktCap_USD,1112.HK_MktCap_USD,VITL_MktCap_USD,2897.TW_MktCap_USD,KMD.NZ_MktCap_USD,SML.NZ_MktCap_USD,AMAL_MktCap_USD,BFT.WA_MktCap_USD,IBAB.BR_MktCap_USD,Index
2022-03-28,6909954666.069878,4572874517.952636,1852751173.4070513,2425680635.678053,1989309020.6334836,982417246.0059304,604817818.5892565,1079500634.2064455,1203714494.7880788,959874031.3907769,971186686.9016373,1171029475.3441632,655490714.4878788,543174176.314439,870443061.0858982,568607490.6122657,505703275.0195807,516100091.3539349,389047436.21954536,536338308.7282789,29.308014954789215
2022-03-29,7314231912.018204,4792477103.875612,2057850230.6999998,2493305378.8596325,2035056523.9452565,987574020.5836953,632856515.9599779,1083267191.9749882,1229072027.493468,974335516.0588834,982382522.276822,1201342583.9933395,714842497.8095711,557738789.7516586,888141783.7545118,571413655.2202495,508198997.7385576,524788665.066033,403239598.8148561,530108008.05603683,30.482223523951355
2022-03-30,6961270644.6908655,4637706009.878962,1922032146.8741026,2469988322.302911,1992765145.2096171,985861280.3480134,622252348.2367628,1082931321.2588005,1199561007.8000023,986320569.3740879,962175297.4760104,1143379702.899889,776899858.6447859,542317415.1227804,892450466.8720373,578033679.2533792,526203938.5858986,520154824.398415,421721883.391857,537732049.1822647,29.761757911801443
2022-03-31,7084279973.38089,4752222946.347524,1808850410.3525214,2494801413.0296392,2022326727.2988462,997377828.7625469,597283020.92283,1098454988.1302366,1215249980.9020267,978446866.1198229,953543711.6975174,1139759907.2146835,787528227.765114,529466283.216256,897222856.4107553,587484386.1279083,529588161.39730656,520444349.39579237,433570802.5721251,523651523.2461919,29.951554364290534
2022-04-01,7759838728.341394,4752222946.347524,1923404078.428205,2624454656.1326056,2137987904.3401887,997377828.7625469,597283020.92283,1105322758.069004,1286466623.248784,978446866.1198229,953543711.6975174,1139759907.2146835,787528227.765114,545744378.1841706,897222856.4107553,587484386.1279083,529588161.39730656,516679371.8622225,433570802.5721251,523651523.2461919,31.077578737190898
2022-04-03,7759838728.341394,4642309739.871017,1923404078.428205,2624454656.1326056,2137987904.3401887,974290591.2420939,627897914.6583049,1105322758.069004,1286466623.248784,976101662.9393071,962082187.8555655,1147509205.2113674,901512912.396813,545744378.1841706,897222856.4107553,572811547.6104316,530902310.5086482,516679371.8622225,446289945.9407283,513242252.9767421,31.092071626228346
2022-04-04,7841975468.059061,4642309739.871017,1962503211.87797,2610122187.0162563,2174048866.7680836,956043536.1772115,635341934.5669758,1110344443.1378727,1281311051.507023,969920142.8374984,967632205.6999773,1171478268.1902359,901512912.396813,546172758.78,897222856.4107553,588904407.5820993,551469116.431071,510307747.29812497,445668504.4931993,505747064.4587544,31.270036423560004
2022-04-05,7718169124.768187,4642783804.727879,1876073486.4884188,2551453348.341081,2138496271.429361,977864411.844612,635587061.4008545,1098268075.9448886,1245766904.0955954,963858472.5332406,977075108.2345735,1132721528.7202566,843845891.6401354,545315997.5883414,917644737.3802879,584854653.559517,545304674.4862831,521023629.9040799,427039414.56809217,486918170.5556934,30.83006476821138
2022-04-06,7060837816.020443,4567784000.532942,1832172592.5992947,2366941826.7467575,2091051931.16954,947734082.2905699,623302661.0334195,1089618966.77938,1198705870.4746847,963060167.7641935,954133763.7594237,1135121762.1146107,837812380.1302377,546172758.78,906758723.2269186,585794960.7272025,542252079.3030611,511176610.4321731,420642639.06292117,494342471.2261461,29.675418064173922
2022-04-07,7225647667.140398,4623045379.531701,1759461921.081581,2328984308.033354,2112605883.7973046,944767311.3767402,621351484.8123456,1081318343.7753668,1182466100.6092558,960036545.9447057,940998798.4269412,1170144552.9374483,840749902.7369666,545315997.5883414,917311681.9225276,579348476.4840511,530749269.58198553,496116412.1559774,432196165.81490594,501193711.838664,29.793809915590565
