,NTCO3.SA_px_USD,0973.HK_px_USD,LMND_px_USD,SOMA3.SA_px_USD,ARZZ3.SA_px_USD,MME.AX_px_USD,FREY.PA_px_USD,CONCHATORO.SN_px_USD,MOVI3.SA_px_USD,AEF.AX_px_USD,ABB.AX_px_USD,LFG.AX_px_USD,1112.HK_px_USD,VITL_px_USD,2897.TW_px_USD,KMD.NZ_px_USD,AMAL_px_USD,SML.NZ_px_USD,IBAB.BR_px_USD,BFT.WA_px_USD,Index,
3/7/22,3.642605449,2.744821676,19.62000084,2.261365417,13.64323817,0.996655352,31.11096189,1.259391797,2.549071809,4.313525912,3.561577276,3.123839979,1.158955288,12.5,0.276788628,0.793659526,15.7875061,2.181151879,17.76653629,109.475936,248.7675893,
3/8/22,3.737766678,2.949129004,20.62999916,2.402625499,13.94159779,1.024809823,31.58667808,1.270306786,2.726862645,4.461947654,3.634077471,3.157194565,1.099833209,12.10000038,0.283080474,0.783716119,15.95045948,2.17719662,18.41287264,119.6055181,261.9356722,
3/9/22,4.385927065,3.054308555,21.64999962,2.55237714,14.62299617,1.064419736,32.0966032,1.272231405,2.848073995,4.583600331,3.796796102,3.094646094,1.112037539,12.10000038,0.291074024,0.781473186,16.26678467,2.256163396,19.20647107,123.0513148,270.0872985,
3/10/22,3.979475496,2.879557036,20.32999992,2.477084883,14.65529494,1.09396215,32.3159162,1.255430746,2.829371411,4.386298999,3.867542917,3.140208801,1.081471037,12.81000042,0.293256915,0.791941692,16.54476929,2.234423319,19.06178952,122.3076773,268.335473,
3/11/22,3.835429508,2.879557036,18.82999992,2.289432765,14.41492321,1.09396215,32.3159162,1.249261566,2.715433667,4.386298999,3.867542917,3.140208801,1.081471037,11.27000046,0.293256915,0.791941692,16.91860771,2.234423319,19.06178952,122.3076773,264.9771347,
3/13/22,3.835429508,2.753591448,18.82999992,2.289432765,14.41492321,1.123911183,32.67251679,1.249261566,2.715433667,4.260234454,3.831515492,3.022072223,1.013866516,11.27000046,0.294543689,0.772852562,16.91860771,2.173750133,19.39901047,120.9754159,263.8163696,
3/14/22,3.715295571,2.611132689,17.29999924,2.237333173,14.3000449,1.068852847,32.69397258,1.243306309,2.65468209,4.250608195,3.843551724,2.939563418,0.925897018,11.39999962,0.292395916,0.759319887,17.60877228,2.139008618,18.9637867,121.9098642,262.8573869,
3/15/22,3.875406846,2.760443844,18.79000092,2.255381096,14.60874242,1.049864264,32.57217166,1.327754196,2.652543601,4.512435275,3.803960118,3.006844002,0.952885675,12.06000042,0.292965359,0.778843644,17.39788818,2.12985351,19.79660549,126.7305836,271.3551741,
3/16/22,4.228216185,2.917562706,21.73999977,2.365009019,14.81322035,1.093433929,32.73049988,1.353298632,2.7828724,4.836783154,3.775991711,2.959338667,1.048363236,12.82999992,0.297676493,0.77462085,16.85150528,2.19921322,19.93579922,135.253666,284.7870706,
3/17/22,4.512858088,2.936914445,24.89999962,2.361346063,15.21759013,1.088629194,32.95864015,1.342830439,2.818080087,4.674551241,3.860020753,2.984287632,1.014091683,13.21000004,0.312620812,0.812209212,16.75565529,2.329513149,20.33434291,136.6839349,291.1081158,
3/18/22,4.541046758,2.936914445,27.01000023,2.435766307,15.17332921,1.088629194,32.95864015,1.351038052,2.908646583,4.674551241,3.860020753,2.984287632,1.014091683,13.67000008,0.312620812,0.812209212,16.56394196,2.329513149,20.33434291,136.6839349,293.6435253,
3/20/22,4.541046758,2.941221906,27.01000023,2.435766307,15.17332921,1.10773645,32.78832443,1.351038052,2.908646583,4.750634682,3.978959591,3.074252629,1.016782036,13.67000008,0.314596115,0.812902249,16.56394196,2.345296711,20.14318321,133.6167374,290.5443966,
3/21/22,4.455926636,2.983831832,26.02000046,2.472857472,15.31095453,1.072405922,32.32478108,1.401075134,2.901475222,4.749042767,4.001183232,2.948465313,1.054387379,13.43999958,0.32640256,0.81055341,16.73647881,2.29037398,20.33386058,130.6641292,286.2981851,
3/22/22,4.581332118,3.113236143,27.54999924,2.625190835,16.0160326,1.10423453,32.16375199,1.378560907,2.971443393,4.957826028,3.999119696,2.938087422,1.058638134,13.44999981,0.358339382,0.820397656,17.04322243,2.352998586,19.88230943,131.2750635,289.6397838,
3/23/22,4.670393633,3.11455129,27.55999947,2.862860657,16.61503522,1.109629953,31.13072841,1.426204467,3.052366298,4.887223542,4.101132115,2.952443271,1.052403347,13.48999977,0.345796405,0.840482674,16.77482224,2.357429645,19.30874874,131.6889854,289.3412365,
3/24/22,4.921060841,3.071205642,27.14999962,2.942851138,17.0239707,1.119289191,32.10780456,1.446449416,3.144626249,4.830904784,4.063996183,2.915461896,0.997833521,12.72999954,0.333361211,0.839288511,16.71730995,2.326221119,18.7105036,132.9704688,290.3626065,
3/25/22,5.02236577,3.071205642,25.87000084,3.102830013,17.80714173,1.119289191,32.10780456,1.47637975,3.248340018,4.830904784,4.063996183,2.915461896,0.997833521,12.75,0.333361211,0.839288511,17.01446724,2.326221119,18.7105036,132.9704688,290.5778644,
3/27/22,5.02236577,2.995016897,25.87000084,3.102830013,17.80714173,1.150159723,32.22576427,1.47637975,3.248340018,4.746597124,3.991730835,3.131176067,1.050627779,12.75,0.329923464,0.825996714,17.01446724,2.309637473,19.26548649,132.7504013,291.0640435,
3/28/22,4.917919474,3.106213498,27.01000023,3.065615424,17.73936156,1.151157882,32.06191761,1.451080805,3.327885212,5.107348504,4.087172883,3.196753942,1.034983516,12.68000031,0.325387613,0.826217672,17.08156586,2.217164749,18.91945246,131.0725525,290.3797517,
3/29/22,5.205649407,3.255382804,30,3.151080696,18.14730314,1.157200388,32.54496219,1.456144496,3.397990679,5.344119635,4.192972881,3.233606106,1.128696693,13.02000046,0.33200372,0.830295182,17.36912918,2.228106795,18.69967722,135.8539823,300.5483039,
3/30/22,4.954442095,3.150251544,28.02000046,3.121612214,17.77017782,1.155193466,32.9452906,1.455692545,3.316401949,5.254573364,3.990668566,3.167092449,1.226681949,12.65999985,0.333614385,0.839914438,17.21576118,2.307046209,18.96861696,142.0807813,303.9338134,
3/31/22,5.041988673,3.228039632,26.37000084,3.152971409,18.03379032,1.168688105,32.68229148,1.476559849,3.359777542,5.043721348,3.978034613,3.138680401,1.243463555,12.35999966,0.335398392,0.85364683,17.22534752,2.321883723,18.47192329,146.0727575,305.5589647,
4/1/22,5.522794163,3.228039632,28.04000092,3.316829329,19.06518124,1.168688105,32.68229148,1.485791921,3.556668372,5.043721348,3.978034613,3.138680401,1.243463555,12.73999977,0.335398392,0.85364683,17.10073471,2.321883723,18.47192329,146.0727575,309.3665293,
4/3/22,5.522794163,3.153378717,28.04000092,3.316829329,19.06518124,1.141635388,32.6039565,1.485791921,3.556668372,5.302247018,4.005081516,3.166785612,1.423439056,12.73999977,0.335398392,0.832326396,17.10073471,2.327645373,18.10473398,150.3579177,313.582546,
4/4/22,5.581252021,3.153378717,28.61000061,3.298715924,19.38674937,1.120254207,32.39748005,1.492541834,3.542415275,5.365107606,4.088739277,3.185054387,1.423439056,12.75,0.335398392,0.855710198,16.88985252,2.417816822,17.84033955,150.1485501,313.8827959,
4/5/22,5.493137594,3.153700734,27.35000038,3.224569065,19.06971452,1.14582305,32.19500684,1.476308443,3.444147485,5.367177565,3.953468989,3.216136607,1.332385904,12.72999954,0.3430325,0.849825685,17.24452019,2.390789939,17.17614615,143.8722914,305.0281826,
4/6/22,5.025304994,3.102755666,26.70999908,2.991380343,18.64663685,1.110517515,32.16834169,1.464682487,3.314038368,5.263442669,3.961846378,3.140622614,1.322859445,12.75,0.338963075,0.851192003,16.91860771,2.377406386,17.43804,141.7171771,300.6138143,
4/7/22,5.142602641,3.140293027,25.64999962,2.943409202,18.83884415,1.10704117,32.06734603,1.453524663,3.269140397,5.246966076,4.084084292,3.097387975,1.327497387,12.72999954,0.342907931,0.84182491,16.42015648,2.326974393,17.67971903,145.6096336,303.3193525,
4/8/22,5.260241537,3.140293027,23.51000023,2.916721613,18.69833525,1.10704117,32.06734603,1.427116951,3.3338517,5.246966076,4.084084292,3.097387975,1.327497387,12.72999954,0.342907931,0.84182491,16.46808243,2.326974393,17.67971903,145.6096336,301.2160251,
4/10/22,5.260241537,3.059017868,23.51000023,2.916721613,18.69833525,1.102030953,31.74434504,1.427116951,3.3338517,4.846510421,4.043262033,3.0833699,1.295979816,12.72999954,0.332203423,0.823614197,16.46808243,2.296446587,17.75620688,147.1493521,301.8766884,
4/11/22,5.116807045,3.059382778,24,2.804661466,17.97747965,1.075169189,31.91623821,1.421285282,3.362288082,4.790135404,3.996663169,3.082493191,1.249447012,12.76000023,0.3242145,0.827532179,16.822752,2.297346044,17.44800337,146.2850444,300.6169432,
4/12/22,5.121587586,3.12752854,24.25,2.852619893,18.30772922,1.062052132,31.57285987,1.453524291,3.377034518,4.930726051,4.136413849,3.146717189,1.236170788,12.90999985,0.328925918,0.820080359,17.00488091,2.337810196,17.21719745,146.01442,301.2082786,
4/13/22,5.042304226,3.120855992,25.18000031,2.867297027,18.70356492,1.0804238,31.58564556,1.457973434,3.496823105,4.878790551,4.284439066,3.145957512,1.240421954,12.59000015,0.321240109,0.807391034,17.03363419,2.298412949,17.37166997,146.3451552,302.8520011,
4/14/22,4.87662543,3.120855992,23.77000046,2.78356614,18.64852784,1.0804238,31.58564556,1.422601739,3.58376754,4.878790551,4.284439066,3.145957512,1.240421954,12.22000027,0.318856712,0.807391034,17.12949181,2.298412949,17.37166997,146.3451552,300.9126015,
4/17/22,4.87662543,3.120855992,23.77000046,2.78356614,18.64852784,1.0804238,31.58564556,1.422601739,3.58376754,4.878790551,4.284439066,3.145957512,1.240421954,12.22000027,0.304210637,0.807391034,17.12949181,2.298412949,17.37166997,146.3451552,300.8979555,
4/18/22,4.929950198,3.156781596,22.48999977,2.829734986,18.92026382,1.037371086,31.44350754,1.417277726,3.607795974,4.802954778,4.362844331,3.082393575,1.144415747,11.89000034,0.307583155,0.793768599,17.20617676,2.236209714,17.16767382,143.5549686,296.3816721,
4/19/22,4.971248726,3.187507265,23.59000015,3.017254587,19.0239096,1.009230958,31.4805027,1.41798431,3.726649466,4.783552287,4.369637192,3.12165308,1.128803003,12.26000023,0.30970176,0.806933249,17.43623161,2.23961895,17.41928762,138.947482,294.2471887,
4/20/22,4.236896087,3.143464416,22.23999977,3.052471185,19.36575624,0.982740291,31.64205503,1.403129062,3.764257339,4.440135761,4.429775994,3.234014651,1.077420919,12.09000015,0.307797399,0.799324793,17.33079147,2.306124521,17.57211924,139.3332948,292.7515691,
4/21/22,4.236896087,3.149359036,21.14999962,3.052471185,19.36575624,1.001063641,31.59920052,1.405970368,3.764257339,4.311121336,4.350210221,3.167539436,1.076214145,12.71000004,0.316413009,0.792375615,17.23493195,2.319694236,16.97815655,134.6228851,286.6045156,
4/22/22,3.944660169,3.149359036,20.12000084,2.792281617,18.0610898,1.001063641,31.59920052,1.374213493,3.456398629,4.311121336,4.350210221,3.167539436,1.076214145,12.68000031,0.316413009,0.792375615,17.04322243,2.319694236,16.97815655,134.6228851,283.1561001,
4/24/22,3.944660169,2.938781783,20.12000084,2.792281617,18.0610898,1.001063641,31.71991234,1.374213493,3.456398629,4.311121336,4.350210221,3.167539436,1.016024997,12.68000031,0.305932823,0.792375615,17.04322243,2.319694236,16.68750559,130.5012821,278.5833114,
4/25/22,3.797767828,3.049642598,21.61000061,2.675542687,17.88154036,1.019296984,31.24643187,1.353955952,3.296210852,4.155280322,4.127435097,3.001532285,0.982625807,12.76000023,0.310020289,0.779897899,17.06239128,2.236840439,16.01600465,123.5583585,270.9207765,
4/26/22,3.64816346,3.062589766,20.86000061,2.508480286,17.03713663,1.107319994,31.04057444,1.329358541,3.093888026,3.961751829,4.093512118,3.027856817,0.980597517,11.64000034,0.302240545,0.78633589,16.92819595,2.202172528,16.0142072,125.4981174,269.1224999,
